letters,0
e,25200
a,18558
t,17757
i,16398
s,15387
n,14840
o,13525
r,13139
d,9329
l,8922
c,8207
h,7514
u,5646
p,5173
m,4959
f,4219
b,3929
g,3755
y,3113
v,2779
w,2169
x,788
k,707
q,370
j,196
z,162
